Text,Cluster
"So, you know, not just, you know, what's life look like for me going forward, you know, being a
",4
"great husband to my wife as much as I can and then trying to be a positive force in the community
",3
"in any way that I can. I mean, like I said, that's service and leadership. That's where I find my,
",3
"that's where I find my purpose. So, yeah, that can manifest itself in a ton of different ways.
",3
"Yeah, just keep fighting. Yep. Yep. Well, Brian, I always enjoy spending time with you
",3
"almost more than anyone and just your presence brings a special thing. And I think every time
",3
"you walk in the gym or in the room without you even saying anything, you just make people
",3
"better. You have that special part of you. You make people more focused, work harder.
",3
"I think characterizes when you walk in the room before you even say one word. And I've always
",3
"kind of known that about you since the first time you walked in our gym and very grateful and
",4
"humbled for the opportunity. And thank you. I appreciate it. You're much too kind. Thank you.
",3
"You know, I gotta say that, you know, hunt for purposes and something that could have come together
",4
"with our great partners like Mountain Tough. You know, we wouldn't have been able to do it without
",4
"you. And all I had to do is just throw the idea at you and you were on board. And that's, you know,
",4
"that speaks volumes in terms of your own character, your commitment to helping people,
",3
"you know, be ready for anything. So, thank you. Yeah, you bet. Thank you. Yep. Awesome. Thanks,
",3
"Brad. Thanks, brother. Appreciate it.",3
